time	V(vout)	I(D1)
5.739248329112975e-002	9.159150e+000	-2.020280e-007
5.769248329112972e-002	9.148794e+000	-1.957662e-007
5.799248329112969e-002	9.138452e+000	-1.884497e-007
5.829248329112965e-002	9.128119e+000	-1.801692e-007
5.859248329112962e-002	9.117800e+000	-1.710025e-007
5.889248329112959e-002	9.107491e+000	-1.610201e-007
5.919248329112956e-002	9.097195e+000	-1.502876e-007
5.949248329112952e-002	9.086909e+000	-1.388673e-007
5.979248329112949e-002	9.076635e+000	-1.268212e-007
6.009248329112946e-002	9.066374e+000	-1.142092e-007
6.039248329112942e-002	9.056124e+000	-1.010924e-007
6.069248329112939e-002	9.045885e+000	-8.753091e-008
6.099248329112936e-002	9.035658e+000	-7.358608e-008
6.119248329112934e-002	9.028847e+000	-6.410653e-008
6.129248329112932e-002	9.025442e+000	-5.931884e-008
6.139248329112931e-002	9.022039e+000	-5.450215e-008
6.149248329112930e-002	9.018639e+000	-4.965887e-008
6.159248329112929e-002	9.015245e+000	-4.479546e-008
6.169248329112928e-002	9.011881e+000	-3.993676e-008
6.173843981569896e-002	9.010376e+000	-3.773843e-008
6.176069621580507e-002	9.009689e+000	-3.671583e-008
6.178044770898117e-002	9.009141e+000	-3.586742e-008
6.180161286373184e-002	9.008657e+000	-3.505154e-008
6.182189823499987e-002	9.008368e+000	-3.441273e-008
6.184427266490000e-002	9.008381e+000	-3.395169e-008
6.186907152980387e-002	9.009061e+000	-3.383434e-008
6.190004915936972e-002	9.011489e+000	-3.431314e-008
6.194470706720637e-002	9.018298e+000	-3.571726e-008
6.198370852494081e-002	9.027840e+000	-3.703757e-008
6.202584103141504e-002	9.042152e+000	-3.792177e-008
6.207431253059020e-002	9.062408e+000	-3.770286e-008
6.215103743615655e-002	9.098089e+000	-3.514643e-008
6.223126805851809e-002	9.135662e+000	-3.051320e-008
6.231338315189344e-002	9.170938e+000	-2.438883e-008
6.239975971890160e-002	9.201799e+000	-1.724902e-008
6.249827604573513e-002	9.228185e+000	-8.905270e-009
6.259827604573512e-002	9.245661e+000	-6.888285e-010
6.269827604573511e-002	9.254976e+000	6.933708e-009
6.277995504772624e-002	9.257637e+000	1.248904e-008
6.286754263522135e-002	9.257368e+000	1.781052e-008
6.290195384810851e-002	9.256681e+000	1.973298e-008
6.293889796651161e-002	9.255640e+000	2.168739e-008
6.297068492386915e-002	9.254654e+000	2.332643e-008
6.300275335557506e-002	9.253605e+000	2.495019e-008
6.303778598760670e-002	9.252423e+000	2.670322e-008
6.307436163555258e-002	9.251168e+000	2.851865e-008
6.311811877628815e-002	9.249653e+000	3.067859e-008
6.317132480270599e-002	9.247803e+000	3.329508e-008
6.324418551029112e-002	9.245265e+000	3.686753e-008
6.334418551029111e-002	9.241779e+000	4.175513e-008
6.344418551029110e-002	9.238296e+000	4.662456e-008
