time	V(vin)-V(vout)	V(vout)
4.161895230184332e-002	1.798552e-001	1.398384e-005
4.165041232594260e-002	6.127589e-002	1.147828e-006
4.169727803932788e-002	-1.155184e-001	1.188530e-004
4.175534976086695e-002	-3.384725e-001	4.207358e-003
4.178820762415295e-002	-4.778428e-001	1.980452e-002
4.180839087606750e-002	-5.824206e-001	4.838705e-002
4.182989206446103e-002	-7.144160e-001	9.945901e-002
4.185575498218611e-002	-8.871495e-001	1.749069e-001
4.188452910716070e-002	-1.087885e+000	2.674862e-001
4.192977804306541e-002	-1.411803e+000	4.215227e-001
4.201331468862363e-002	-2.018262e+000	7.151464e-001
4.211331468862362e-002	-2.748242e+000	1.072365e+000
4.221331468862360e-002	-3.478001e+000	1.431742e+000
4.231331468862359e-002	-4.204612e+000	1.790881e+000
4.241331468862358e-002	-4.925992e+000	2.148218e+000
4.261331468862356e-002	-6.346885e+000	2.853380e+000
4.291331468862353e-002	-8.405599e+000	3.876957e+000
4.321331468862349e-002	-1.035161e+001	4.845693e+000
4.351331468862346e-002	-1.215883e+001	5.745996e+000
4.381331468862343e-002	-1.380354e+001	6.565727e+000
4.411331468862340e-002	-1.526436e+001	7.294037e+000
4.441331468862336e-002	-1.652236e+001	7.921375e+000
4.471331468862333e-002	-1.756131e+001	8.439564e+000
4.501331468862330e-002	-1.836783e+001	8.841869e+000
4.531331468862326e-002	-1.893153e+001	9.123076e+000
4.561331468862323e-002	-1.924516e+001	9.279543e+000
4.591331468862320e-002	-1.930470e+001	9.309245e+000
4.621331468862316e-002	-1.910937e+001	9.211798e+000
4.651331468862313e-002	-1.866169e+001	8.988463e+000
4.681331468862310e-002	-1.796741e+001	8.642131e+000
4.711331468862307e-002	-1.703547e+001	8.177288e+000
4.741331468862303e-002	-1.587787e+001	7.599968e+000
4.771331468862300e-002	-1.450953e+001	6.917684e+000
4.801331468862297e-002	-1.294815e+001	6.139355e+000
4.831331468862293e-002	-1.121397e+001	5.275230e+000
4.861331468862290e-002	-9.329647e+000	4.336843e+000
4.891331468862287e-002	-7.320136e+000	3.337063e+000
4.911331468862284e-002	-5.924375e+000	2.643555e+000
4.931331468862282e-002	-4.494228e+000	1.934303e+000
4.941331468862281e-002	-3.769534e+000	1.575771e+000
4.951331468862280e-002	-3.040662e+000	1.216178e+000
4.961331468862279e-002	-2.310345e+000	8.577332e-001
4.971331468862278e-002	-1.585100e+000	5.064246e-001
4.981331468862277e-002	-8.768142e-001	1.736080e-001
4.985236436611790e-002	-6.216964e-001	6.541045e-002
4.987906616021717e-002	-4.746587e-001	1.890674e-002
4.990050746515484e-002	-3.780484e-001	3.058335e-003
4.991271803367350e-002	-3.296725e-001	6.865768e-004
4.992877059978373e-002	-2.686427e-001	1.464937e-004
4.994328817252614e-002	-2.138135e-001	3.118518e-005
4.996960059076944e-002	-1.146041e-001	3.492320e-006
5.000683421082353e-002	2.572751e-002	3.682544e-005
5.008027277082960e-002	3.005867e-001	1.988306e-003
5.011186372399951e-002	4.108770e-001	1.071436e-002
5.013238008178569e-002	4.665085e-001	3.234548e-002
5.015506819405050e-002	5.050310e-001	7.922937e-002
5.018279484497298e-002	5.326847e-001	1.558903e-001
5.020904943646845e-002	5.488176e-001	2.384646e-001
5.024943071008262e-002	5.646882e-001	3.742583e-001
5.031515009991300e-002	5.817890e-001	6.035057e-001
5.041515009991299e-002	5.991741e-001	9.595234e-001
5.051515009991298e-002	6.113085e-001	1.318577e+000
5.061515009991296e-002	6.203673e-001	1.677963e+000
5.071515009991295e-002	6.275663e-001	2.035943e+000
5.091515009991293e-002	6.386542e-001	2.743345e+000
5.121515009991290e-002	6.506412e-001	3.771814e+000
5.151515009991287e-002	6.594281e-001	4.746975e+000
5.181515009991283e-002	6.662164e-001	5.655056e+000
5.211515009991280e-002	6.715927e-001	6.483779e+000
5.241515009991277e-002	6.758852e-001	7.222159e+000
5.271515009991273e-002	6.792932e-001	7.860507e+000
5.301515009991270e-002	6.819429e-001	8.390498e+000
5.331515009991267e-002	6.839161e-001	8.805243e+000
5.361515009991263e-002	6.852684e-001	9.099362e+000
5.391515009991260e-002	6.860304e-001	9.269050e+000
5.421515009991257e-002	6.862230e-001	9.312107e+000
5.451515009991254e-002	6.858473e-001	9.227980e+000
5.481515009991250e-002	6.848965e-001	9.017755e+000
5.511515009991247e-002	6.833487e-001	8.684153e+000
5.541515009991244e-002	6.811647e-001	8.231495e+000
5.571515009991240e-002	6.782808e-001	7.665656e+000
5.601515009991237e-002	6.746030e-001	6.993998e+000
5.631515009991234e-002	6.699867e-001	6.225293e+000
5.661515009991230e-002	6.641998e-001	5.369656e+000
